"Dim 1","Dim 2","Dim 3","Dim 4","Dim 5"
"0.452005731",-1.1749579298195,1.54318325454118,1.45954705456103,-0.321859362467747,-5.09280010956223e-15
"0.756389342",-0.412673057797914,-0.0521566597648491,-0.447852171550559,2.11755322376364,4.63692437791975e-15
"Local community_0",2.28988698250432,0.404040140549798,0.759276788964402,0.116986655764494,-3.37768010459356e-15
"Local community_0.008044554",-0.0735100760395877,0.0806909773605367,-1.02649331075247,-1.01917693835802,-1.87082869338697
"Local community_0.010752688",-0.420168850463187,-2.10644139541678,1.12728997379389,-0.332984528338128,7.72269456697474e-15
"Local community_0.011836735",-0.0735100760395843,0.0806909773605537,-1.02649331075247,-1.01917693835802,1.87082869338697
"Local community_0.014138119",-0.412673057797914,-0.0521566597648491,-0.447852171550559,2.11755322376364,4.63692437791975e-15
"Local community_0.015759312",-1.1749579298195,1.54318325454118,1.45954705456103,-0.321859362467747,-5.09280010956223e-15
"Local community_0.048543689",-0.135066992344549,0.0499927053695592,-0.845275024263826,0.45865788799378,-5.83516060621554e-15
"Luxury Watches_0",0.0687788429663191,0.00869277662747484,0.07464202859176,-0.352925537293939,-7.67607272703276e-16
"Luxury Watches_0.018216422",-0.412673057797914,-0.0521566597648491,-0.447852171550559,2.11755322376364,4.63692437791975e-15
"Mums_0",-0.416420954130551,-1.07929902759081,0.339718901121666,0.892284347712754,6.33520797150115e-15
"Mums_0.003506601",-0.0735100760395877,0.0806909773605367,-1.02649331075247,-1.01917693835802,-1.87082869338697
"Mums_0.007001167",2.28988698250432,0.404040140549798,0.759276788964402,0.116986655764494,-3.37768010459356e-15
"Mums_0.009708738",-0.135066992344549,0.0499927053695592,-0.845275024263826,0.45865788799378,-5.83516060621554e-15
"Mums_0.01244898",-0.0735100760395843,0.0806909773605537,-1.02649331075247,-1.01917693835802,1.87082869338697
"Mums_0.017908309",-1.1749579298195,1.54318325454118,1.45954705456103,-0.321859362467747,-5.09280010956223e-15
"Other_0",-0.793815493808706,0.745513297388165,0.505847441505236,0.897846930647945,-1.76874218313569e-16
"Other_0.005834306",2.28988698250432,0.404040140549798,0.759276788964402,0.116986655764494,-3.37768010459356e-15
"Other_0.007346939",-0.0735100760395843,0.0806909773605537,-1.02649331075247,-1.01917693835802,1.87082869338697
"Other_0.014336918",-0.420168850463187,-2.10644139541678,1.12728997379389,-0.332984528338128,7.72269456697474e-15
"Other_0.017120462",-0.0735100760395877,0.0806909773605367,-1.02649331075247,-1.01917693835802,-1.87082869338697
"Other_0.019417476",-0.135066992344549,0.0499927053695592,-0.845275024263826,0.45865788799378,-5.83516060621554e-15
"Shopping_0",0.319025356056537,0.11265162817512,-0.517367405670984,0.130968778161175,-5.03498844184092e-16
"Shopping_0.00286533",-1.1749579298195,1.54318325454118,1.45954705456103,-0.321859362467747,-5.09280010956223e-15
"Shopping_0.007168459",-0.420168850463187,-2.10644139541678,1.12728997379389,-0.332984528338128,7.72269456697474e-15
"Sport_0",-0.273870025071232,-0.00108197719764489,-0.646563597907193,1.28810555587871,-5.7343532510263e-16
"Sport_0.003584229",-0.420168850463187,-2.10644139541678,1.12728997379389,-0.332984528338128,7.72269456697474e-15
"Sport_0.005834306",2.28988698250432,0.404040140549798,0.759276788964402,0.116986655764494,-3.37768010459356e-15
"Sport_0.00755102",-0.0735100760395843,0.0806909773605537,-1.02649331075247,-1.01917693835802,1.87082869338697
"Sport_0.014326648",-1.1749579298195,1.54318325454118,1.45954705456103,-0.321859362467747,-5.09280010956223e-15
"Sport_0.026608911",-0.0735100760395877,0.0806909773605367,-1.02649331075247,-1.01917693835802,-1.87082869338697
"0.075856444",-0.412673057797914,-0.0521566597648491,-0.447852171550559,2.11755322376364,4.63692437791975e-15
"0.078853047",-0.420168850463187,-2.10644139541678,1.12728997379389,-0.332984528338128,7.72269456697474e-15
"0.091020408",-0.0735100760395843,0.0806909773605537,-1.02649331075247,-1.01917693835802,1.87082869338697
"0.101002865",-1.1749579298195,1.54318325454118,1.45954705456103,-0.321859362467747,-5.09280010956223e-15
"0.111386139",-0.0735100760395877,0.0806909773605367,-1.02649331075247,-1.01917693835802,-1.87082869338697
"0.13592233",-0.135066992344549,0.0499927053695592,-0.845275024263826,0.45865788799378,-5.83516060621554e-15
"0.297549592",2.28988698250432,0.404040140549798,0.759276788964402,0.116986655764494,-3.37768010459356e-15
"Teens_0.004893964",-0.412673057797914,-0.0521566597648491,-0.447852171550559,2.11755322376364,4.63692437791975e-15
"Teens_0.009312321",-1.1749579298195,1.54318325454118,1.45954705456103,-0.321859362467747,-5.09280010956223e-15
"Teens_0.009708738",-0.135066992344549,0.0499927053695592,-0.845275024263826,0.45865788799378,-5.83516060621554e-15
"Teens_0.014645215",-0.0735100760395877,0.0806909773605367,-1.02649331075247,-1.01917693835802,-1.87082869338697
"Teens_0.024489796",-0.0735100760395843,0.0806909773605537,-1.02649331075247,-1.01917693835802,1.87082869338697
"Teens_0.031505251",2.28988698250432,0.404040140549798,0.759276788964402,0.116986655764494,-3.37768010459356e-15
"Teens_0.035842294",-0.420168850463187,-2.10644139541678,1.12728997379389,-0.332984528338128,7.72269456697474e-15
