Search Results,"(""capri-sun"" OR ""capri sun"") AND (""quality"" OR ""genuine"" OR ""authentic"" OR ""sophisticated"" OR ""novel"" OR ""young"" OR ""refreshing"" OR ""cool"" OR ""comforting"" OR ""relaxing"" OR ""fun"" OR ""good"" OR ""great"" OR ""tasty"" OR ""inspirational"" OR ""optimistic"" OR ""happy"" OR ""confident"" OR ""cynical"" OR ""ambitious"" OR ""selfish"" OR ""superstitious"" OR ""practical"" OR ""creative"" OR ""emotional"" OR ""stylish"" OR ""impulsive"" OR ""political"" OR ""responsible"" OR ""spiritual"") between 20-Mar-2013 and 18-Sep-2013 language=English in Twitter",19800 total results,Showing from 1 to 15000,,,,,,,,,,
,,,,,,,,,,,,,
host,link,time,auth,follower,following,age,gender,country,location,sentiment,contents,uniqueid,authname
http://twitter.com/_darrendontcare,http://twitter.com/_DarrenDontCare/statuses/379828298085580800,2013-09-17T04:44:57Z,6,1171,1042,,,,#NP with my dick,,RT @Lovenauti_ The cherry Capri sun is so good lol.,3.79828E+17,D.Caяteя 
http://twitter.com/lovenauti_,http://twitter.com/Lovenauti_/statuses/379827743305007104,2013-09-17T04:42:45Z,7,4570,4087,,,,,,The cherry Capri sun is so good lol.,3.79828E+17,القوارب
http://twitter.com/capri_sun_kid,http://twitter.com/Capri_Sun_Kid/statuses/379824577611694080,2013-09-17T04:30:10Z,4,316,329,,,,,,@HO_Two_Ts i mean it bro he's a lucky guy  you gonna be a great father  An u couldnt ask for a better present 2 days before your birthday,3.79825E+17,Clay Febus
http://twitter.com/capri_sun_kid,http://twitter.com/Capri_Sun_Kid/statuses/379821099946475520,2013-09-17T04:16:21Z,4,316,329,,,,,,One of the best parts about my bday was knowin my homie @HO_Two_Ts brought a new son into this world  congrats bro! He got a great father,3.79821E+17,Clay Febus
http://twitter.com/_maarlinn,http://twitter.com/_Maarlinn/statuses/379810205069885440,2013-09-17T03:33:04Z,5,514,185,,,,Maywood  ♥ ',,RT @nylirvm @_Maarlinn lmao  alright sounds good! I'll take you a capri sun ;b,3.7981E+17,Forever
http://twitter.com/nylirvm,http://twitter.com/nylirvm/statuses/379808505227522048,2013-09-17T03:26:18Z,5,605,503,,,CA,Paradise,,@_Maarlinn lmao  alright sounds good! I'll take you a capri sun ;b,3.79809E+17,arilynmay.
http://twitter.com/nicholasrango,http://twitter.com/nicholasrango/statuses/379807180871847938,2013-09-17T03:21:03Z,3,120,141,,,,,,RT @JakeEman11 It's all fun and games until you realize your Capri Sun doesn't have a straw,3.79807E+17,Nicholas Lott
http://twitter.com/dustinhymel,http://twitter.com/DusTinHyMel/statuses/379806409803587585,2013-09-17T03:17:59Z,3,136,266,,,,,,RT @tpizz_ Its all fun and games until you realize your Capri Sun has no straw  then shit gets real😑,3.79806E+17,dustH
http://twitter.com/thatshianne,http://twitter.com/ThatShianne/statuses/379805825776492544,2013-09-17T03:15:39Z,4,342,507,,,US,"Texas, Baby",,Don't drink my Capri sun Don't eat my hostess cupcakes Don't joke about any of the boys Don't eat my pop tarts And the world will be happy,3.79806E+17,♡ Shianne ♡
http://twitter.com/jakeeman11,http://twitter.com/JakeEman11/statuses/379805149855637504,2013-09-17T03:12:58Z,5,374,193,,,,airZona,,It's all fun and games until you realize your Capri Sun doesn't have a straw,3.79805E+17,Jake Emanuel
http://twitter.com/tpizz_,http://twitter.com/tpizz_/statuses/379804606089281536,2013-09-17T03:10:49Z,5,446,272,,,,,,Its all fun and games until you realize your Capri Sun has no straw  then shit gets real😑,3.79805E+17,Thomas Pizzolato
http://twitter.com/capri_sun_kid,http://twitter.com/Capri_Sun_Kid/statuses/379804358562435072,2013-09-17T03:09:50Z,4,316,329,,,,,,@ItstheAD thanks fam! U know me tho  everything's always good homie,3.79804E+17,Clay Febus
http://twitter.com/_capri_sun,http://twitter.com/_Capri_Sun/statuses/379803227522613248,2013-09-17T03:05:20Z,4,129,113,,,,,,I be having fun with Bruce  Devin  Jada & Daija when Ms. Stu not at school,3.79803E+17,Yasmeen Capri
http://twitter.com/capri_sun_kid,http://twitter.com/Capri_Sun_Kid/statuses/379801076033015808,2013-09-17T02:56:47Z,4,316,329,,,,,,@chrissummerzz thanks homie! I'm just out here grindin like everyone else  nothin too inspirational lol,3.79801E+17,Clay Febus
http://twitter.com/capri_sun_kid,http://twitter.com/Capri_Sun_Kid/statuses/379800838383742976,2013-09-17T02:55:50Z,4,316,329,,,,,,RT @chrissummerzz happy bday to one of the most influencial homies of all time @Capri_Sun_Kid,3.79801E+17,Clay Febus
http://twitter.com/pandawashere,http://twitter.com/PandaWasHere/statuses/379796496499372032,2013-09-17T02:38:35Z,4,207,860,,,,,,@AllysonHibbard hugs the capri sun... but then what will I have when i need happy snacks??? D:,3.79796E+17,Panda
http://twitter.com/a______l,http://twitter.com/A______L/statuses/379789931767689216,2013-09-17T02:12:30Z,5,423,699,,,,,,It's all fun and games until your Capri sun is missing a straw .,3.7979E+17,al
http://twitter.com/shaunmichaelsu,http://twitter.com/ShaunMichaelSU/statuses/379789033192558593,2013-09-17T02:08:56Z,4,254,444,,,US,"Trussville, Alabama",,@ttaylormariee so  they don't have to have a Capri sun to be awesome  but this one had Oreos  it was heaven  they'd be good picnic food haha,3.79789E+17,Shaun McCormack
http://twitter.com/dustent,http://twitter.com/DustenT/statuses/379788507449151488,2013-09-17T02:06:50Z,4,280,397,,,,centerville,,RT @Matt_at_it It's all fun and games till your Capri sun doesn't have a straw on the side. Then shit gets real!!,3.79789E+17,dusten thompson
http://twitter.com/amberlynn_xoxo,http://twitter.com/AmberLynn_xoxo/statuses/379787433816379392,2013-09-17T02:02:35Z,4,266,460,,,US,"Louisburg, NC",,RT @Matt_at_it It's all fun and games till your Capri sun doesn't have a straw on the side. Then shit gets real!!,3.79787E+17,Amber Lynn✨
http://twitter.com/lilli_gupton,http://twitter.com/lilli_gupton/statuses/379787179960332288,2013-09-17T02:01:34Z,5,412,810,,,,C-ville,,RT @Matt_at_it It's all fun and games till your Capri sun doesn't have a straw on the side. Then shit gets real!!,3.79787E+17,Fit:) lilli gupton:)
http://twitter.com/troyshearin,http://twitter.com/TroyShearin/statuses/379785802332790784,2013-09-17T01:56:06Z,4,362,376,,,,,,RT @Matt_at_it It's all fun and games till your Capri sun doesn't have a straw on the side. Then shit gets real!!,3.79786E+17,Troy shearin
http://twitter.com/meghanayscue,http://twitter.com/MeghanAyscue/statuses/379780439046909952,2013-09-17T01:34:47Z,3,101,144,,,,,,RT @Matt_at_it It's all fun and games till your Capri sun doesn't have a straw on the side. Then shit gets real!!,3.7978E+17,Meghan Ayscue
http://twitter.com/matt_at_it,http://twitter.com/Matt_at_it/statuses/379779503780012033,2013-09-17T01:31:04Z,5,364,307,,,,,,It's all fun and games till your Capri sun doesn't have a straw on the side. Then shit gets real!!,3.7978E+17,Matt edwards
http://twitter.com/shelbyyxoxo,http://twitter.com/shelbyyxoxo/statuses/379776261339770880,2013-09-17T01:18:11Z,2,44,110,,,,,,RT @kbohritt “@HungoverBabyy: About to shotgun a capri sun #turnUP” @shelbyyxoxo obviously I can't shot fun SHIT 😂😂😂,3.79776E+17,Shelby Edwards
http://twitter.com/kbohritt,http://twitter.com/kbohritt/statuses/379772850179411968,2013-09-17T01:04:37Z,4,229,434,,,,,,“@HungoverBabyy: About to shotgun a capri sun #turnUP” @shelbyyxoxo obviously I can't shot fun SHIT 😂😂😂,3.79773E+17,kels ⚓
http://twitter.com/boyd_kris,http://twitter.com/boyd_kris/statuses/379772596294000640,2013-09-17T01:03:37Z,4,340,451,,,GB,glasgow,,That was a tasty pack of roysters and a wee Capri sun to quench the thirst #midnightmunch,3.79773E+17,32
http://twitter.com/capri_sun_kid,http://twitter.com/Capri_Sun_Kid/statuses/379769596015702016,2013-09-17T00:51:42Z,4,316,329,,,,,,RT @CwinnFebus17 @Capri_Sun_Kid love you happy birthday haha,3.7977E+17,Clay Febus
http://twitter.com/cara_resnick,http://twitter.com/Cara_Resnick/statuses/379765057183174658,2013-09-17T00:33:39Z,4,179,105,,,,,,I wonder if vodka and capri sun taste good together... #thetoughquestions,3.79765E+17,Cara
http://twitter.com/capri_sun_kid,http://twitter.com/Capri_Sun_Kid/statuses/379764950954024961,2013-09-17T00:33:14Z,4,316,329,,,,,,@fuckboydiet good lookin homie!,3.79765E+17,Clay Febus
http://twitter.com/capri_sun_kid,http://twitter.com/Capri_Sun_Kid/statuses/379759768136462336,2013-09-17T00:12:38Z,4,316,329,,,,,,RT @CwinnFebus17 Happy birthday to the best big bro anyone could have! Happy birthday Clay! @Capri_Sun_Kid,3.7976E+17,Clay Febus
http://twitter.com/capri_sun_kid,http://twitter.com/Capri_Sun_Kid/statuses/379759735999696896,2013-09-17T00:12:31Z,4,316,329,,,,,,“@The_BuffaloBILL: Happy birthday brotha @Capri_Sun_Kid” appreciate bro,3.7976E+17,Clay Febus
http://twitter.com/aaalessandraaak,http://twitter.com/aaalessandraaak/statuses/379757372127735808,2013-09-17T00:03:07Z,1,22,55,,,US,"Kirkland, Washington",,Chicken nugget TV dinner. Capri Sun. Oz the great and powerful. #life #yay,3.79757E+17,Alessandra Benevides
http://twitter.com/21samwright,http://twitter.com/21SamWright/statuses/379756146493366274,2013-09-16T23:58:15Z,3,149,164,,,,,,If you offer her a drink and she asks for a Capri Sun she's too young for you,3.79756E+17,Sam Wright
http://twitter.com/wee_jas7,http://twitter.com/Wee_Jas7/statuses/379743597027160064,2013-09-16T23:08:23Z,3,84,367,,,,Dechmont,,RT @LifeAsStoner Its all fun and games until you realize your Capri Sun has no straw then shit gets real.,3.79744E+17,Jas
http://twitter.com/libbypricelgp,http://twitter.com/libbypriceLGP/statuses/379743214192066560,2013-09-16T23:06:52Z,4,167,242,,,US,United States,,Cracked my phone screen  spilled my Capri sun everywhere... Great day,3.79743E+17,☼Libby Grace Price☼
http://twitter.com/jake_lee__,http://twitter.com/Jake_Lee__/statuses/379737375423098880,2013-09-16T22:43:40Z,4,282,257,,,,,,i never even noticed but the capri sun has a smurf on it omg im so happy,3.79737E+17,Jake
